SAMPLE,LOCATION,TYPE,LENGTH (cm),WIDTH (cm),THICKNESS (cm),WEIGHT (g),CORTEX,RETOUCH,COLOUR,Source (Sr),Source ((Fe),Early,,,,,,,,,,,,
KPN 73,KAUPOKONUI,Debitage,41.5,30.9,14.3,13,N,Y,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 74,KAUPOKONUI,Flake,22.7,47,8.3,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 75,KAUPOKONUI,Core,59.6,37.6,16.1,24,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 76,KAUPOKONUI,Flake,24.2,34.7,5,5,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 77,KAUPOKONUI,Flake,44.4,62.3,5.3,15,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 78,KAUPOKONUI,Debitage,29.8,15.8,10.4,6,N,N,Green,Waihi (Possibly),Unknown,Y,,,,,,,,,,,,
KPN 79,KAUPOKONUI,Core,61.8,17.9,8.6,13,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 80,KAUPOKONUI,Flake,34.7,35.7,9.3,9,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 81,KAUPOKONUI,Flake,43.9,38.3,11.9,21,N,Y,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 82,KAUPOKONUI,Core,44.4,22.3,15,13,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 83,KAUPOKONUI,Debitage,35.9,22.7,9.5,6,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 84,KAUPOKONUI,Flake,35.3,39.1,12.9,12,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 85,KAUPOKONUI,Flake,34.2,36.8,5.2,6,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 86,KAUPOKONUI,Flake,45.3,40.1,9.6,14,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 87,KAUPOKONUI,Flake,43.1,35.1,4.9,7,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 88,KAUPOKONUI,Flake,27.1,29.1,5.8,5,N,N,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 89,KAUPOKONUI,Flake,32.8,34.8,5.1,4,N,N,Green,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 90,KAUPOKONUI,Flake,29.7,36,11.2,10,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 91,KAUPOKONUI,Flake,30.3,21.7,5.3,4,N,Y,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 92,KAUPOKONUI,Flake,50.9,23.2,5.3,6,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 93,KAUPOKONUI,Flake,15.3,20.4,3,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 94,KAUPOKONUI,Flake,41.9,47.4,13.2,19,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 95,KAUPOKONUI,Flake,38.4,43.8,9.3,13,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
